Name,Age,Experience (Years),Education Level,Hours Worked per week,Projects Completed,Performance Category
Amna Sheikh,26,3,Master,6,17,Good
Zain Chaudhry,47,17,Master,9,17,Average
Hassan Raza,35,3,High School,6,12,Excellent
Hassan Shah,48,33,Master,9,17,Average
Sara Malik,30,28,Bachelor,7,16,Average
Ali Shah,36,23,Bachelor,7,12,Outstanding
Fatima Shah,36,21,Master,9,11,Excellent
Bilal Butt,47,1,Bachelor,4,2,Good
Usman Malik,34,5,PhD,7,6,Average
Usman Shah,53,24,High School,4,0,Outstanding
Fatima Malik,53,20,Master,4,4,Good
Sara Raza,25,15,High School,9,0,Average
Sara Iqbal,51,30,PhD,4,3,Excellent
Hassan Sheikh,58,13,High School,4,0,Low
Bilal Sheikh,44,27,High School,5,12,Low
Ayesha Butt,36,31,Bachelor,6,13,Average
Sara Malik,50,27,Bachelor,4,14,Poor
Hassan Iqbal,57,8,Bachelor,6,16,Good
Ali Khan,34,21,Bachelor,4,11,Low
Amna Khan,53,31,Bachelor,6,6,Low
Ali Raza,28,4,High School,7,18,Average
Ahmed Shah,43,22,Bachelor,7,2,Average
Hassan Butt,49,4,Master,6,17,Low
Sara Shah,23,31,Master,4,3,Poor
Usman Sheikh,27,9,Master,5,2,Average
Bilal Khan,49,14,Master,6,11,Good
Bilal Qureshi,49,6,Bachelor,8,11,Excellent
Hassan Qureshi,41,28,High School,5,16,Poor
Bilal Iqbal,51,2,Bachelor,8,5,Average
Hassan Sheikh,32,18,Master,6,14,Average
Sara Qureshi,49,9,PhD,4,1,Average
Sara Khan,46,27,Bachelor,8,7,Excellent
Zain Iqbal,54,28,High School,6,13,Average
Usman Ashraf,22,14,High School,5,4,Average
Usman Khan,48,34,Bachelor,4,2,Low
Zain Butt,34,5,Bachelor,8,9,Outstanding
Amna Iqbal,24,11,High School,6,6,Average
Ahmed Khan,27,12,PhD,4,10,Average
Amna Malik,29,28,Bachelor,4,14,Average
Ahmed Malik,48,18,PhD,7,1,Average
Zain Malik,30,2,Master,4,4,Good
Sara Shah,58,7,Master,6,10,Poor
Ali Chaudhry,54,7,Master,5,7,Good
Sara Chaudhry,45,19,Master,9,12,Average
Zain Khan,36,3,Master,7,10,Low
Zain Malik,53,20,Master,6,16,Low
Bilal Chaudhry,53,2,Bachelor,6,14,Good
Zain Iqbal,45,7,PhD,6,0,Average
Fatima Qureshi,33,22,Master,8,18,Average
Sara Ashraf,23,15,Master,8,15,Poor
Sara Qureshi,24,12,Master,5,18,Good
Bilal Sheikh,58,2,Bachelor,6,12,Excellent
Ayesha Butt,38,8,High School,8,3,Good
Fatima Malik,23,13,Bachelor,8,10,Average
Usman Butt,23,12,Bachelor,8,17,Average
Zain Chaudhry,49,6,Master,5,17,Low
Ali Malik,44,14,Bachelor,5,9,Low
Amna Raza,58,6,Bachelor,6,16,Good
Amna Qureshi,53,33,Bachelor,7,12,Good
Ahmed Ashraf,54,21,High School,6,13,Good
Ali Raza,22,23,Master,8,6,Average
Fatima Qureshi,40,0,Master,9,9,Excellent
Ahmed Butt,23,9,Bachelor,8,2,Excellent
Amna Qureshi,47,15,Bachelor,4,1,Average
Zain Iqbal,53,7,Bachelor,9,18,Low
Usman Iqbal,27,24,Bachelor,9,6,Average
Ayesha Malik,53,11,High School,6,4,Low
Ahmed Qureshi,25,24,PhD,8,2,Excellent
Ali Malik,32,16,Bachelor,8,1,Average
Amna Sheikh,38,25,Bachelor,7,5,Average
Ayesha Qureshi,59,13,Bachelor,4,13,Average
Zain Raza,45,22,Master,6,6,Average
Fatima Raza,26,5,Master,5,1,Low
Ayesha Iqbal,55,4,Master,6,10,Outstanding
Hassan Qureshi,27,24,High School,9,2,Low
Usman Malik,43,17,Master,6,8,Good
Bilal Qureshi,32,12,Bachelor,7,7,Good
Usman Khan,37,13,Bachelor,6,10,Low
Fatima Sheikh,54,27,Bachelor,7,17,Excellent
Ayesha Sheikh,30,17,Bachelor,9,0,Average
Hassan Iqbal,27,27,Master,7,14,Average
Bilal Iqbal,37,26,PhD,8,3,Average
Usman Malik,50,31,Bachelor,5,3,Average
Ali Sheikh,24,8,Master,9,9,Low
Amna Khan,41,31,Master,7,10,Good
Fatima Chaudhry,57,19,PhD,4,17,Average
Amna Sheikh,40,27,Bachelor,9,14,Low
Bilal Sheikh,47,32,Bachelor,4,2,Good
Usman Qureshi,24,3,Bachelor,5,6,Good
Fatima Khan,40,33,Master,7,6,Average
Fatima Raza,41,2,High School,9,16,Poor
Sara Malik,53,25,Bachelor,9,19,Average
Fatima Iqbal,28,7,Bachelor,5,15,Poor
Bilal Chaudhry,54,5,Bachelor,8,15,Average
Ahmed Raza,39,15,Master,4,7,Excellent
Ahmed Sheikh,22,23,Master,9,2,Poor
Bilal Khan,32,29,Master,6,19,Average
Ahmed Ashraf,49,12,Master,4,14,Good
Bilal Raza,46,4,Bachelor,7,0,Poor
Ayesha Sheikh,44,24,Bachelor,5,9,Poor
Ali Shah,52,19,Bachelor,4,1,Average
Usman Butt,51,17,High School,6,6,Good
Sara Raza,56,17,Bachelor,6,13,Good
Hassan Ashraf,28,1,Master,5,15,Good
Ayesha Raza,37,9,Bachelor,5,14,Average
Sara Khan,47,11,Master,4,6,Excellent
Sara Shah,23,12,Bachelor,7,12,Poor
Fatima Qureshi,22,10,High School,8,9,Average
Ali Qureshi,33,18,High School,6,8,Average
Fatima Iqbal,26,34,Bachelor,5,8,Low
Bilal Iqbal,58,25,Bachelor,8,5,Average
Fatima Khan,53,13,High School,8,11,Average
Ali Qureshi,30,23,Bachelor,8,19,Average
Ahmed Chaudhry,56,0,Bachelor,7,19,Average
Ayesha Khan,40,21,Bachelor,5,13,Good
Ali Chaudhry,37,22,Master,6,19,Good
Bilal Ashraf,24,18,Master,5,6,Average
Fatima Shah,41,17,Bachelor,4,7,Average
Zain Iqbal,45,11,Master,6,7,Average
Ali Shah,54,27,Master,5,7,Low
Zain Raza,45,27,Master,6,1,Good
Ayesha Khan,32,32,Bachelor,4,13,Poor
Bilal Khan,29,18,High School,9,9,Low
Amna Iqbal,57,27,Master,6,17,Low
Sara Ashraf,59,25,Bachelor,9,17,Good
Bilal Malik,41,34,PhD,8,17,Poor
Fatima Chaudhry,56,33,Master,7,15,Good
Fatima Malik,46,34,Bachelor,4,19,Poor
Ayesha Iqbal,56,15,Bachelor,6,4,Good
Ayesha Shah,46,12,Bachelor,4,19,Excellent
Fatima Shah,50,22,Bachelor,8,4,Average
Ayesha Iqbal,39,21,Bachelor,9,19,Good
Ahmed Raza,39,15,Bachelor,7,9,Good
Bilal Shah,23,27,Bachelor,4,16,Good
Ahmed Chaudhry,56,34,Bachelor,9,12,Good
Zain Qureshi,37,7,PhD,8,16,Low
Bilal Iqbal,57,21,High School,8,17,Average
Usman Qureshi,54,20,PhD,8,12,Outstanding
Ayesha Raza,25,25,PhD,9,16,Average
Bilal Chaudhry,54,20,Bachelor,6,14,Outstanding
Zain Ashraf,35,24,Master,5,11,Average
Hassan Butt,42,0,Bachelor,4,9,Average
Hassan Raza,41,5,Master,5,12,Good
Amna Butt,29,22,Bachelor,8,10,Good
Ahmed Malik,28,22,Bachelor,5,2,Average
Ayesha Iqbal,24,22,Bachelor,9,9,Poor
Zain Ashraf,38,31,Bachelor,8,10,Good
Ali Raza,54,29,Bachelor,8,5,Outstanding
Ayesha Raza,33,12,Bachelor,7,0,Average
Sara Sheikh,43,17,Bachelor,7,5,Low
Usman Khan,43,22,High School,9,4,Low
Sara Butt,51,14,High School,9,6,Excellent
Zain Malik,59,32,Bachelor,5,11,Poor
Hassan Shah,59,20,High School,4,11,Average
Zain Raza,29,22,High School,5,6,Low
Bilal Butt,48,26,Master,9,1,Average
Bilal Raza,48,17,High School,4,0,Average
Ahmed Khan,55,23,Master,5,17,Low
Ali Shah,42,6,Bachelor,6,11,Good
Sara Sheikh,51,19,Master,6,6,Average
Amna Butt,54,26,Bachelor,4,18,Average
Usman Iqbal,49,5,Bachelor,7,2,Average
Sara Malik,54,26,Bachelor,4,9,Excellent
Hassan Sheikh,26,8,Bachelor,5,10,Good
Hassan Iqbal,40,30,Bachelor,8,4,Poor
Amna Chaudhry,25,20,High School,6,1,Poor
Fatima Butt,56,25,PhD,8,7,Average
Zain Iqbal,38,12,Bachelor,6,13,Excellent
Bilal Iqbal,49,22,Bachelor,5,7,Average
Hassan Sheikh,51,19,Master,6,5,Low
Hassan Butt,50,27,Bachelor,4,0,Good
Ayesha Raza,27,16,Master,8,0,Average
Ayesha Iqbal,56,27,Bachelor,9,7,Average
Hassan Raza,58,1,Master,8,10,Low
Ayesha Butt,45,24,High School,5,17,Low
Ali Qureshi,50,5,Master,9,9,Average
Sara Qureshi,52,10,Master,8,11,Low
Fatima Ashraf,56,5,Bachelor,5,19,Outstanding
Amna Malik,54,10,High School,7,15,Poor
Ahmed Sheikh,42,13,Bachelor,4,4,Average
Sara Shah,53,1,PhD,6,15,Average
Ahmed Raza,44,2,Bachelor,6,11,Average
Ali Shah,54,34,Bachelor,6,5,Excellent
Bilal Ashraf,24,32,High School,7,4,Good
Amna Butt,39,23,Bachelor,4,0,Outstanding
Bilal Khan,46,18,Bachelor,8,18,Low
Sara Shah,52,17,PhD,8,9,Poor
Bilal Chaudhry,24,23,Bachelor,4,13,Low
Usman Chaudhry,45,34,Master,9,2,Average
Bilal Butt,53,0,Bachelor,4,5,Average
Usman Ashraf,43,24,High School,6,4,Excellent
Ayesha Shah,44,33,Bachelor,8,16,Average
Bilal Iqbal,23,24,Bachelor,4,17,Excellent
Amna Chaudhry,48,15,PhD,8,11,Average
Sara Butt,23,33,Master,4,4,Average
Sara Qureshi,47,28,Bachelor,5,8,Average
Bilal Butt,38,18,Bachelor,6,11,Low
Usman Shah,54,22,Bachelor,4,19,Excellent
Fatima Shah,30,18,PhD,7,8,Low
Ahmed Butt,50,24,Master,4,2,Good
Ahmed Chaudhry,47,15,Master,5,0,Average
Amna Khan,56,8,Bachelor,7,14,Excellent
Bilal Chaudhry,46,0,Bachelor,7,9,Good
Zain Khan,45,18,Bachelor,4,13,Average
Ali Shah,34,32,Bachelor,5,6,Average
Ahmed Butt,28,33,Bachelor,7,3,Poor
Ahmed Khan,57,15,High School,6,4,Average
Ayesha Shah,41,17,High School,9,19,Poor
Fatima Raza,22,33,Master,6,15,Average
Hassan Ashraf,29,24,Master,8,2,Low
Fatima Shah,37,5,Bachelor,8,16,Outstanding
Ayesha Shah,35,20,Bachelor,5,12,Average
Ayesha Malik,33,5,Bachelor,7,5,Excellent
Hassan Khan,44,31,Master,6,4,Poor
Amna Khan,36,30,Master,6,15,Average
Fatima Raza,49,9,Master,9,10,Average
Ali Khan,55,29,Master,5,16,Average
Usman Raza,23,17,Bachelor,7,4,Excellent
Sara Khan,53,23,Bachelor,5,5,Outstanding
Zain Sheikh,44,8,Bachelor,4,9,Low
Sara Sheikh,43,30,Bachelor,6,0,Excellent
Hassan Malik,46,14,Master,5,9,Good
Zain Raza,43,3,Bachelor,5,16,Outstanding
Hassan Qureshi,43,8,High School,9,2,Average
Fatima Sheikh,27,8,Bachelor,4,1,Outstanding
Zain Chaudhry,36,25,PhD,8,16,Excellent
Ali Sheikh,58,3,Bachelor,6,3,Low
Ayesha Malik,54,16,Master,9,1,Average
Zain Khan,29,15,Bachelor,5,4,Low
Ayesha Chaudhry,26,14,High School,6,9,Average
Bilal Shah,25,34,Bachelor,8,0,Good
Sara Malik,27,4,Master,5,0,Good
Zain Raza,53,4,Bachelor,4,3,Good
Ali Qureshi,51,19,Master,6,6,Average
Zain Malik,56,14,Bachelor,9,13,Low
Zain Khan,37,17,High School,4,13,Low
Fatima Iqbal,34,1,PhD,8,17,Good
Bilal Ashraf,51,28,Bachelor,8,1,Low
Ali Iqbal,40,12,Bachelor,6,0,Low
Fatima Khan,38,3,Master,8,15,Average
Bilal Butt,40,9,Bachelor,7,17,Poor
Ali Shah,49,30,Master,9,15,Low
Fatima Butt,47,7,High School,6,5,Low
Ahmed Shah,58,2,Bachelor,7,9,Outstanding
Ahmed Iqbal,47,8,High School,8,1,Low
Ayesha Chaudhry,44,29,Master,6,6,Excellent
Amna Butt,30,10,Bachelor,7,16,Low
Hassan Shah,33,34,Master,8,2,Excellent
Zain Qureshi,22,12,PhD,5,19,Average
Fatima Raza,22,12,Bachelor,5,11,Good
Ali Qureshi,55,11,Bachelor,4,1,Excellent
Hassan Raza,53,9,Bachelor,5,6,Average
Hassan Chaudhry,46,8,Bachelor,7,16,Excellent
Zain Shah,22,6,Bachelor,9,18,Average
Fatima Khan,37,1,Master,5,11,Good
Hassan Ashraf,26,22,PhD,6,8,Average
Ahmed Butt,43,20,PhD,6,13,Excellent
Sara Ashraf,50,22,Master,6,1,Good
Ayesha Ashraf,24,28,Master,5,3,Low
Ayesha Chaudhry,33,13,Bachelor,5,18,Average
Ayesha Iqbal,47,25,Master,4,15,Excellent
Usman Iqbal,37,4,Master,9,16,Good
Sara Malik,58,30,Bachelor,9,1,Outstanding
Sara Shah,43,24,PhD,8,16,Low
Hassan Iqbal,50,30,Bachelor,4,18,Average
Sara Butt,35,19,Master,7,7,Average
Hassan Butt,49,16,Master,6,19,Low
Usman Malik,26,1,PhD,5,5,Average
Ayesha Raza,51,24,Bachelor,8,11,Average
Bilal Raza,26,12,Master,8,17,Low
Ayesha Chaudhry,33,27,Bachelor,5,1,Average
Fatima Butt,37,5,Bachelor,4,18,Low
Amna Iqbal,47,2,Master,8,9,Good
Fatima Shah,47,34,Bachelor,9,2,Average
Amna Ashraf,42,17,Master,4,11,Low
Fatima Butt,57,10,Bachelor,5,15,Average
Ayesha Qureshi,54,19,Bachelor,4,11,Poor
Ayesha Raza,51,4,Master,9,7,Excellent
Ali Raza,58,18,Bachelor,6,4,Average
Fatima Malik,44,21,Bachelor,5,10,Excellent
Amna Sheikh,31,18,PhD,9,9,Average
Sara Raza,26,15,Bachelor,5,2,Excellent
Hassan Qureshi,57,23,Master,9,8,Low
Zain Iqbal,55,3,Bachelor,9,11,Low
Zain Qureshi,52,14,Bachelor,8,5,Good
Ali Raza,31,24,Bachelor,8,18,Low
Ayesha Raza,40,34,Bachelor,8,15,Good
Fatima Sheikh,53,13,Bachelor,6,13,Average
Ayesha Khan,22,18,Bachelor,6,3,Good
Amna Sheikh,26,6,Bachelor,9,17,Excellent
Ayesha Khan,25,29,High School,7,9,Outstanding
Usman Iqbal,37,18,Bachelor,5,17,Average
Ayesha Sheikh,45,24,Bachelor,8,11,Average
Hassan Malik,37,15,High School,5,18,Outstanding
Usman Chaudhry,23,7,PhD,9,7,Excellent
Ayesha Butt,49,17,Master,4,0,Poor
Hassan Butt,53,27,Master,9,13,Average
Fatima Sheikh,48,15,Bachelor,6,5,Low
Usman Qureshi,41,18,PhD,7,13,Outstanding
Hassan Malik,45,16,Master,4,1,Low
Ali Shah,33,12,Master,5,8,Average
Hassan Malik,56,6,Bachelor,6,11,Good
Zain Khan,54,26,PhD,8,4,Excellent
Ahmed Sheikh,54,9,Master,4,1,Good
Zain Qureshi,58,33,Master,6,18,Low
Ali Raza,33,24,Bachelor,5,6,Average
Ali Iqbal,24,5,Bachelor,9,6,Outstanding
Bilal Chaudhry,22,23,Bachelor,5,9,Good
Zain Chaudhry,54,17,Bachelor,4,16,Good
Sara Iqbal,31,22,Master,4,13,Good
Bilal Butt,50,5,High School,9,10,Average
Hassan Qureshi,34,28,High School,4,19,Good
Zain Shah,33,24,Bachelor,7,5,Low
Ayesha Chaudhry,52,16,Bachelor,8,7,Average
Zain Khan,23,23,Bachelor,6,18,Excellent
Zain Malik,56,10,Master,9,18,Poor
Sara Raza,44,25,Bachelor,5,16,Average
Ayesha Malik,38,33,High School,5,17,Average
Ahmed Raza,47,27,Bachelor,8,11,Low
Ahmed Iqbal,29,2,Bachelor,4,8,Good
Ali Sheikh,50,10,High School,4,15,Good
Usman Shah,47,13,Master,5,17,Low
Hassan Chaudhry,31,25,Master,8,15,Average
Hassan Qureshi,47,20,Master,5,15,Average
Usman Raza,55,29,Master,4,3,Low
Ayesha Qureshi,28,7,High School,9,6,Good
Hassan Malik,25,19,PhD,6,0,Average
Sara Qureshi,32,31,Master,4,19,Good
Zain Raza,50,21,PhD,9,0,Low
Bilal Malik,57,6,High School,6,7,Average
Amna Raza,46,8,PhD,7,7,Poor
Ahmed Qureshi,42,0,Master,8,9,Low
Ahmed Malik,57,28,Master,9,0,Excellent
Usman Sheikh,31,7,High School,7,13,Low
Ayesha Chaudhry,58,3,Master,4,13,Poor
Zain Qureshi,30,34,PhD,8,9,Excellent
Hassan Malik,45,2,Master,9,18,Average
Hassan Qureshi,56,6,Bachelor,4,15,Low
Bilal Qureshi,56,26,PhD,8,8,Outstanding
Amna Iqbal,57,0,Bachelor,8,19,Low
Hassan Butt,39,26,Bachelor,4,15,Good
Ali Chaudhry,53,15,Bachelor,4,19,Poor
Usman Shah,45,6,PhD,9,7,Average
Fatima Chaudhry,44,22,High School,8,6,Average
Ayesha Khan,53,10,Bachelor,9,10,Low
Ali Raza,58,32,Master,8,5,Average
Zain Chaudhry,33,16,Master,9,14,Average
Usman Qureshi,34,34,Bachelor,4,18,Good
Zain Khan,44,4,PhD,4,13,Excellent
Ahmed Butt,46,31,PhD,5,14,Average
Amna Butt,56,2,High School,9,5,Average
Ayesha Sheikh,51,34,Bachelor,5,9,Average
Zain Shah,38,13,High School,5,13,Good
Hassan Malik,41,30,Bachelor,7,15,Average
Hassan Ashraf,46,30,Bachelor,8,12,Average
Bilal Ashraf,43,16,PhD,6,10,Average
Fatima Malik,34,23,Master,7,2,Outstanding
Ahmed Ashraf,40,22,High School,8,7,Average
Bilal Butt,57,17,High School,6,2,Low
Ayesha Shah,33,13,Bachelor,5,1,Average
Amna Khan,40,14,Bachelor,6,13,Good
Hassan Malik,33,14,Bachelor,4,19,Excellent
Fatima Qureshi,30,5,Master,4,14,Good
Fatima Malik,28,26,PhD,9,2,Excellent
Bilal Iqbal,49,14,Bachelor,8,0,Average
Usman Iqbal,35,7,Master,7,14,Average
Hassan Shah,52,14,Bachelor,5,19,Good
Usman Raza,40,2,Master,8,1,Average
Amna Ashraf,37,12,Bachelor,5,17,Average
Zain Butt,26,33,High School,4,0,Good
Hassan Khan,56,23,PhD,7,8,Good
Sara Qureshi,33,31,Bachelor,7,2,Outstanding
Amna Sheikh,46,31,Master,4,1,Outstanding
Ayesha Butt,42,29,Bachelor,6,3,Low
Hassan Malik,57,12,High School,7,15,Excellent
Usman Chaudhry,44,0,High School,6,0,Poor
Sara Sheikh,37,33,Bachelor,5,8,Good
Ayesha Iqbal,35,14,Master,7,7,Low
Usman Iqbal,52,13,Bachelor,9,5,Average
Bilal Malik,26,28,Master,4,19,Excellent
Sara Malik,56,33,Master,6,17,Average
Hassan Malik,44,17,Master,9,15,Good
Ahmed Butt,50,6,Bachelor,5,7,Low
Ayesha Iqbal,32,28,PhD,5,3,Poor
Ayesha Shah,39,30,Bachelor,7,2,Average
Hassan Butt,33,24,Bachelor,7,14,Average
Sara Butt,30,13,Bachelor,9,5,Low
Amna Sheikh,31,7,Bachelor,8,0,Average
Bilal Raza,38,26,High School,8,17,Good
Zain Iqbal,59,1,Master,7,10,Low
Ahmed Malik,28,16,Bachelor,8,2,Average
Ayesha Shah,34,13,Bachelor,4,12,Excellent
Fatima Iqbal,30,24,Master,9,16,Average
Ayesha Khan,48,29,Bachelor,4,17,Average
Ayesha Qureshi,23,28,Bachelor,8,13,Good
Zain Chaudhry,26,19,Bachelor,7,6,Good
Hassan Sheikh,50,20,Master,4,6,Good
Hassan Iqbal,58,21,High School,5,13,Outstanding
Hassan Ashraf,59,34,Bachelor,7,14,Poor
Fatima Iqbal,40,15,Bachelor,9,11,Outstanding
Amna Shah,29,16,Master,6,11,Outstanding
Hassan Ashraf,22,15,Master,6,7,Excellent
Sara Raza,43,1,Master,7,15,Average
Zain Shah,38,3,High School,8,8,Excellent
Sara Shah,28,20,Bachelor,4,1,Low
Usman Ashraf,46,33,Bachelor,4,13,Good
Hassan Shah,25,29,High School,7,15,Low
Bilal Sheikh,57,5,Bachelor,5,4,Good
Hassan Khan,27,16,Bachelor,9,4,Average
Ahmed Iqbal,52,24,Bachelor,8,19,Poor
Zain Ashraf,40,4,Master,5,17,Excellent
Ali Butt,48,4,Bachelor,7,17,Average
Ali Iqbal,31,19,Master,7,4,Good
Hassan Khan,47,15,Bachelor,5,10,Average
Ahmed Shah,40,8,Bachelor,6,12,Excellent
Ahmed Malik,24,4,Bachelor,7,2,Average
Hassan Qureshi,34,1,High School,9,16,Average
Fatima Chaudhry,49,8,High School,8,17,Average
Bilal Malik,41,21,Bachelor,5,13,Good
Fatima Iqbal,49,21,PhD,6,11,Good
Bilal Ashraf,29,21,Master,5,13,Average
Hassan Iqbal,22,33,High School,6,17,Average
Usman Chaudhry,24,28,Master,6,19,Average
Ali Raza,34,32,Master,9,1,Excellent
Ayesha Raza,49,17,Master,8,6,Good
Ali Shah,46,6,Master,7,14,Average
Ali Malik,54,0,Bachelor,6,9,Average
Hassan Sheikh,59,32,Bachelor,7,14,Average
Ayesha Khan,27,0,Bachelor,8,16,Excellent
Usman Ashraf,53,23,Bachelor,7,10,Poor
Usman Qureshi,42,3,Bachelor,9,1,Good
Fatima Ashraf,37,3,Bachelor,9,17,Average
Bilal Sheikh,42,17,PhD,4,3,Low
Sara Iqbal,32,26,PhD,9,8,Poor
Bilal Chaudhry,58,31,Master,6,16,Excellent
Ahmed Sheikh,57,32,Master,8,16,Excellent
Ahmed Malik,56,27,PhD,9,16,Poor
Zain Shah,40,5,High School,5,15,Average
Zain Raza,41,15,Bachelor,8,19,Low
Hassan Chaudhry,39,33,Bachelor,6,7,Good
Ahmed Raza,35,22,Master,8,14,Good
Hassan Qureshi,36,23,Bachelor,9,0,Average
Hassan Qureshi,52,12,Master,5,18,Low
Usman Butt,22,17,High School,4,14,Good
Ayesha Iqbal,24,12,Bachelor,6,8,Good
Ahmed Malik,37,16,Master,6,4,Poor
Hassan Ashraf,44,14,Bachelor,8,15,Average
Zain Qureshi,32,17,Bachelor,7,12,Good
Bilal Qureshi,33,22,Bachelor,7,15,Average
Hassan Qureshi,31,29,Bachelor,5,10,Average
Sara Shah,53,33,Master,4,12,Average
Hassan Malik,37,3,Bachelor,4,5,Average
Sara Shah,29,2,Bachelor,8,19,Average
Zain Ashraf,59,6,High School,8,16,Outstanding
Zain Qureshi,33,17,Master,7,4,Low
Ayesha Khan,45,6,Bachelor,9,16,Average
